Year,Event,Athlete,Medal,Country,Result
1972,1500m Women,Lyudmila Bragina,GOLD,URS,04:01.4
1972,,Gunhild Hoffmeister,SILVER,GDR,04:02.8
1972,,Paola Cacchi-Pigni,BRONZE,ITA,04:02.9
1976,1500m Women,Tatyana Kazankina,GOLD,URS,04:05.5
1976,,Gunhild Hoffmeister,SILVER,GDR,04:06.0
1976,,Ulrike Klapezynski,BRONZE,GDR,04:06.1
1980,1500m Women,Tatyana Kazankina,GOLD,URS,03:56.6
1980,,Christiane Wartenberg,SILVER,GDR,03:57.7
1980,,Nadezhda Olizarenko,BRONZE,URS,03:59.5
1984,1500m Women,Gabriella Dorio,GOLD,ITA,04:03.2
1984,,Doina Melinte,SILVER,ROM,04:03.8
1984,,Maricica Puica,BRONZE,ROM,04:04.1
1988,1500m Women,Paula Ivan,GOLD,ROM,03:54.0
1988,,Laimute Baikauskaite,SILVER,URS,04:00.2
1988,,Tetyana Samolenko,BRONZE,URS,04:00.3
1992,1500m Women,Hassiba Boulmerka,GOLD,ALG,03:55.3
1992,,Lyudmila Rogachova,SILVER,URS,03:56.9
1992,,Yunxia Qu ,BRONZE,CHN,03:57.1
1996,1500m Women,Svetlana Masterkova,GOLD,RUS,04:00.8
1996,,Gabriela Szabo,SILVER,ROM,04:01.5
1996,,Theresia Kiesl,BRONZE,AUT,04:03.0
2000,1500m Women,Nouria Merah-Benida,GOLD,ALG,04:05.1
2000,,Violeta Szekely,SILVER,ROM,04:05.2
2000,,Gabriela Szabo,BRONZE,ROM,04:05.3
2004,1500m Women,Kelly Holmes,GOLD,GBR,03:57.9
2004,,Tatyana Tomashova,SILVER,RUS,03:58.1
2004,,Maria Cioncan,BRONZE,ROM,03:58.4
2008,1500m Women,Nancy Lagat,GOLD,KEN,04:00.2
2008,,Irnya Lishchynska,SILVER,UKR,04:01.6
2008,,Nataliya Tobias,BRONZE,UKR,04:01.8
